variable,source_variable,alternatives,condition,values,values_parsed,format,static_value,aggregate,conversion,threshold,limit
pet_tracer,,,,,PiB;Florbetapir;AV-45,,,,,,
pet_assesment,,,,,quantitative;visual,,,,,,
pet_level_suvr,,,,,,,,,,,
pet_level_bpnd,,,,,,,,,,,
pet_abnormal,,,,,yes;no,,,,,,
no_pet_abnormal,,,,,yes;no,,,,,,
date_depression,,,,,,%Y-%m-%d,,,,,
depression_rating_mini,,,,,,,,,,,
depression_rating_gds_15,,,,,,,,,,,
depression_rating_gds,,,,,,,,,,,
depression_rating_ces_d,,,,,,,,,,,
depression_rating_phq_9,,,,,,,,,,,
depression_rating_hads,,,,,,,,,,,
depression_rating_sf_36,,,,,,,,,,,
depression,minicurrdepr,,,1.0;0.0,yes;no,,2000000025
no_depression,minicurrdepr,,,1.0;0.0,yes;no,,2000000025
depression_cutoff,,,,,,,,,,,
date_anxiety,,,,,,%Y-%m-%d,,,,,
anxiety_rating_mini,,,,,,,,,,,
anxiety_rating_beck_anxiety,,,,,,,,,,,
anxiety_rating_state_trait,,,,,,,,,,,
anxiety_rating_hospital_scale,,,,,,,,,,,
anxiety,,,1.0,1.0;0.0,yes;no,,2000000025
no_anxiety,,,1.0,1.0;0.0,yes;no,,2000000025
anxiety_cutoff,,,,,,,,,,,
mhi_5_questionnaire,,,,,,,,,,,
lidas_questionnaire,,,,,,,,,,,
npi_questionnaire_frq,,,,,1;2;3;4,,,,,,
npi_questionnaire_sev,,,,,1;2;3,,,,,,
npi_questionnaire_dis,,,,,0;1;2;3;4;5,,,,,,
date_mmse,visit2_date,,,,,%Y-%m-%d,,,,,
mmse_total,mmsescore,,,,,,,,,,
date_attention,visit2_date,,,,,%Y-%m-%d,,,,,
attention_test_tmt_a_time,,,,,,,,,,,
attention_test_tmt_a_errors,,,,,,,,,,,
attention_test_stroop_1_time,str1ts,,,,,,,,,,
attention_test_stroop_1_errors,str1f,,,,,,,,,,
attention_test_stroop_2_time,str2ts,,,,,,,,,,
attention_test_stroop_2_errors,str2f,,,,,,,,,,
attention_test_stroop_1_adj,,,,,,,,,,,
attention_test_stroop_2_adj,,,,,,,,,,,
attention_test_sdst_60_correct,,,,,,,,,,,
attention_test_sdst_60_errors,,,,,,,,,,,
attention_test_sdst_60_ts,,,,,,,,,,,
attention_test_sdst_90_correct,,,,,,,,,,,
attention_test_sdst_90_errors,,,,,,,,,,,
attention_test_sdst_90_ts,,,,,,,,,,,
attention_test_sdst_120_correct,,,,,,,,,,,
attention_test_sdst_120_errors,,,,,,,,,,,
attention_test_sdst_120_ts,,,,,,,,,,,
attention_test_ldst_30_correct,ldst30,,,,,,,,,,
attention_test_ldst_30_errors,ldstf30,,,,,,,,,,
attention_test_ldst_60_correct,ldst60,,,,,,,,,,
attention_test_ldst_60_errors,ldstf60,,,,,,,,,,
attention_test_ldst_90_correct,ldst90,,,,,,,,,,
attention_test_ldst_90_errors,ldstf90,,,,,,,,,,
alphabet_coding_task,,,,,,,,,,,
date_memory,visit2_date,,,,,%Y-%m-%d,,,,,
priority_memory_im_ravlt,wlt1,wlt2;wlt3,,,,,,sum,,,
priority_memory_im_cerad,,,,,,,,,,,
priority_memory_im_gb,,,,,,,,,,,
priority_memory_im_sct,,,,,,,,,,,
priority_memory_im_lm,,,,,,,,,,,
priority_memory_im_hopkins,,,,,,,,,,,
priority_memory_im_vat_a,,,,,,,,,,,
priority_memory_im_vat_b,,,,,,,,,,,
priority_memory_im_srb,,,,,,,,,,,
priority_memory_im_rrf,,,,,,,,,,,
priority_memory_im_mmse,,,,,,,,,,,
priority_memory_im_adas,,,,,,,,,,,
priority_memory_im_10_word_list_correct,,,,,,,,,,,
priority_memory_im_10_word_list_errors,,,,,,,,,,,
priority_memory_im_15_word_list_correct,,,,,,,,,,,
priority_memory_im_15_word_list_errors,,,,,,,,,,,
priority_memory_im_pwlt,,,,,,,,,,,
priority_memory_dr_ravlt,wltrscore,,,,,,,,,,
priority_memory_dr_cerad,,,,,,,,,,,
priority_memory_dr_gb,,,,,,,,,,,
priority_memory_dr_sct,,,,,,,,,,,
priority_memory_dr_lm,,,,,,,,,,,
priority_memory_dr_hopkins,,,,,,,,,,,
priority_memory_dr_vat_a,,,,,,,,,,,
priority_memory_dr_vat_b,,,,,,,,,,,
priority_memory_dr_srb,,,,,,,,,,,
priority_memory_dr_rrf_short,,,,,,,,,,,
priority_memory_dr_rrf_long,,,,,,,,,,,
priority_memory_dr_mmse,,,,,,,,,,,
priority_memory_dr_adas,,,,,,,,,,,
priority_memory_dr_10_word_list_correct,,,,,,,,,,,
priority_memory_dr_10_word_list_errors,,,,,,,,,,,
priority_memory_dr_15_word_list_correct,,,,,,,,,,,
priority_memory_dr_15_word_list_errors,,,,,,,,,,,
priority_memory_de_pwlt,,,,,,,,,,,
date_executive,visit2_date,,,,,%Y-%m-%d,,,,,
priority_executive_tmt_b_time,,,,,,,,,,,
priority_executive_tmt_b_errors,,,,,,,,,,,
priority_executive_stroop_3_time,str3ts,,,,,,,,,,
priority_executive_stroop_3_errors,str3f,,,,,,,,,,
priority_executive_stroop_3_time_adj,,,,,,,,,,,
priority_executive_cst_a_time,cstats,,,,,,,,,,
priority_executive_cst_a_errors,cstaf,,,,,,,,,,
priority_executive_cst_b_time,cstbts,,,,,,,,,,
priority_executive_cst_b_errors,cstbf,,,,,,,,,,
priority_executive_cst_c_time,cstcts,,,,,,,,,,
priority_executive_cst_c_errors,cstcf,,,,,,,,,,
priority_executive_vet,,,,,,,,,,,
priority_executive_bat,,,,,,,,,,,
priority_executive_cijfferreeksspanne,,,,,,,,,,,
priority_executive_vosp,,,,,,,,,,,
priority_executive_wais_3_b,,,,,,,,,,,
priority_executive_wais_3_b_span,,,,,,,,,,,
priority_executive_wais_3_f,,,,,,,,,,,
priority_executive_wais_3_f_span,,,,,,,,,,,
date_language,visit2_date,,,,,%Y-%m-%d,,,,,
priority_language_animal_fluency_60_correct,flucor,,,,,,,,,,
priority_language_animal_fluency_60_errors,fluf,,,,,,,,,,
priority_language_animal_fluency_60_ts,,,,,,,,,,,
priority_language_animal_fluency_120_correct,,,,,,,,,,,
priority_language_animal_fluency_120_errors,,,,,,,,,,,
priority_language_animal_fluency_120_ts,,,,,,,,,,,
priority_language_category_fluency_60,,,,,,,,,,,
priority_language_letter_fluency_60,,,,,,,,,,,
priority_language_bnt_15,,,,,,,,,,,
priority_language_bnt_30,,,,,,,,,,,
priority_language_bnt_60,,,,,,,,,,,
priority_language_verbal_fluency_60,,,,,,,,,,,
priority_language_verbal_fluency_60_errors,,,,,,,,,,,
date_fluid_intelligence,,,,,,,,,,,
fluid_intelligence_raven,,,,,,,,,,,
date_dexterity,,,,,,,,,,,
dexterity_purdue_pegboard,,,,,,,,,,,
dexterity_clock_drawing,,,,,,,,,,,
dexterity_cogstate_battery,,,,,,,,,,,
