concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
2000000081	priority_memory_im_15_word_list_incorrect	Measurement	Vocabulary	Measurement		Priority_memory_im_15_word_list_incorrect	20210101	20991231	
2000000082	priority_memory_dr_15_word_list_correct	Measurement	Vocabulary	Measurement		Priority_memory_dr_15_word_list_correct	20210101	20991231	
2000000083	priority_memory_dr_15_word_list_incorrect	Measurement	Vocabulary	Measurement		Priority_memory_dr_15_word_list_incorrect	20210101	20991231	
2000000084	priority_executive_vet	Measurement	Vocabulary	Measurement		Priority_executive_vet	20210101	20991231	
2000000085	priority_executive_bat	Measurement	Vocabulary	Measurement		Priority_executive_bat	20210101	20991231	
2000000086	priority_language_verbal_fluency_1	Measurement	Vocabulary	Measurement		Priority_language_verbal_fluency_1	20210101	20991231	
2000000087	priority_language_animals_naming_1	Measurement	Vocabulary	Measurement		Priority_language_animals_naming_1	20210101	20991231	
2000000088	attention_test_stroop_1_adj	Measurement	Vocabulary	Measurement		Attention_test_stroop_1_adj	20210101	20991231	
2000000089	attention_test_stroop_2_adj	Measurement	Vocabulary	Measurement		Attention_test_stroop_2_adj	20210101	20991231	
2000000090	attention_test_ldst	Measurement	Vocabulary	Measurement		Attention_test_ldst	20210101	20991231	
2000000091	lidas_questionnaire	Measurement	Vocabulary	Measurement		lidas_questionnaire	20210101	20991231	
2000000092	npi_questionnaire	Measurement	Vocabulary	Measurement		npi_questionnaire	20210101	20991231	
2000000093	amyloid_b_42	Measurement	Vocabulary	Measurement		Amyloid_B_42	20210101	20991231	
2000000094	amyloid_b_40	Measurement	Vocabulary	Measurement		Amyloid_B_40	20210101	20991231	
2000000095	gfap	Measurement	Vocabulary	Measurement		GFAP	20210101	20991231	
2000000096	nfl	Measurement	Vocabulary	Measurement		NFL	20210101	20991231	
2000000097	e_selectin	Measurement	Vocabulary	Measurement		E_Selectin	20210101	20991231	
2000000098	vcam	Measurement	Vocabulary	Measurement		VCAM	20210101	20991231	
2000000099	icam	Measurement	Vocabulary	Measurement		ICAM	20210101	20991231	
2000000100	npi_questionnaire_sev	Measurement	Vocabulary	Measurement		npi_questionnaire_sev	20210101	20991231	
2000000101	priority_executive_stroop_3_adj	Measurement	Vocabulary	Measurement		priority_executive_stroop_3_adj	20210101	20991231	
2000000102	priority_executive_stroop_1_e	Measurement	Vocabulary	Measurement		priority_executive_stroop_1_e	20210101	20991231	
2000000103	priority_executive_stroop_2_e	Measurement	Vocabulary	Measurement		priority_executive_stroop_2_e	20210101	20991231	
2000000104	priority_executive_stroop_3_e	Measurement	Vocabulary	Measurement		priority_executive_stroop_3_e	20210101	20991231	
2000000105	amyloid_b_ratio_42_40	Measurement	Vocabulary	Measurement		Amyloid_b_Ratio_42_40	20210101	20991231	
